('二团', '怀恋翻车鱼', '术士', '头部', '复仇骨帽', '16929', '+8 法术强度', '2020-22')
('四团', 'Giroud', '德鲁伊', '腿部', '魔暴龙皮护腿', '15062', '+10 急速', '2020-22')
('四团', 'Giroud', '德鲁伊', '脚', '暗影烈焰长靴', '19381', '+7 敏捷', '2020-22')
('四团', 'Giroud', '德鲁伊', '腕部', '巡林者护腕', '19587', '+9 力量', '2020-22')
('四团', 'Giroud', '德鲁伊', '手', '魔暴龙皮手套', '15063', '+7 敏捷', '2020-22')
('四团', 'Giroud', '德鲁伊', '手指', '源力之环', '19432', '', '2020-22')
('四团', 'Giroud', '德鲁伊', '手指', '胡里奥指环', '19325', '', '2020-22')
('四团', 'Giroud', '德鲁伊', '饰品', '黑手饰物', '13965', '', '2020-22')
('四团', 'Giroud', '德鲁伊', '饰品', '暗月卡片：漩涡', '19289', '', '2020-22')
('四团', 'Giroud', '德鲁伊', '背部', '飞龙披风', '19436', '+3 敏捷', '2020-22')
('四团', 'Giroud', '德鲁伊', '背部', '奥妮克希亚鳞片披风', '15138', '', '2020-22')
('四团', 'Giroud', '德鲁伊', '主手武器', '典狱官法杖', '943', '+15 敏捷', '2020-22')
('四团', 'Giroud', '德鲁伊', '主手武器', '龙人之槌', '19358', '+15 敏捷', '2020-22')
('四团', 'Giroud', '德鲁伊', '公会徽章', '阿拉索战袍', '20132', '', '2020-22')
('四团', '毛线球球', '牧师', '头部', '卓越之环', '16921', '+10 智力，+10 耐力，+10 全能', '2020-22')
('四团', '毛线球球', '牧师', '颈部', '生命项链', '18723', '', '2020-22')
('四团', '毛线球球', '牧师', '肩部', '卓越肩铠', '16924', '+5 火焰抗性', '2020-22')
('四团', '毛线球球', '牧师', '衬衣', '体面的白衬衣', '4334', '', '2020-22')
('四团', '毛线球球', '牧师', '胸部', '卓越法袍', '16923', '+3 所有属性', '2020-22')
('四团', '毛线球球', '牧师', '腰部', '卓越腰带', '16925', '', '2020-22')
('四团', '毛线球球', '牧师', '腿部', '卓越护腿', '16922', '+10 智力，+10 耐力，+10 全能', '2020-22')
('四团', '毛线球球', '牧师', '脚', '纯净思想长靴', '19437', '+5 全能', '2020-22')
('四团', '毛线球球', '牧师', '腕部', '预言臂甲', '16819', '+7 智力', '2020-22')
('四团', '毛线球球', '牧师', '手', '卓越护手', '16920', '+10 急速', '2020-22')
('四团', '毛线球球', '牧师', '手指', '弗丁徽记之戒', '16058', '', '2020-22')
('四团', '毛线球球', '牧师', '手指', '萨弗拉斯指环', '19138', '', '2020-22')
('四团', '毛线球球', '牧师', '饰品', '埃雷萨拉斯皇家徽记', '18469', '', '2020-22')
('四团', '毛线球球', '牧师', '饰品', '石楠之环', '12930', '', '2020-22')
('四团', '毛线球球', '牧师', '背部', '纯净思想斗篷', '19430', '+5 所有抗性', '2020-22')
('四团', '毛线球球', '牧师', '背部', '奥妮克希亚鳞片披风', '15138', '', '2020-22')
('四团', '毛线球球', '牧师', '主手武器', '祈福', '18608', '+29 法术强度', '2020-22')
('四团', '毛线球球', '牧师', '远程', '巨龙之触', '19367', '', '2020-22')
('四团', '我要的幸福', '盗贼', '头部', '血牙头巾', '16908', '+14 攻击强度，+12 躲闪', '2020-22')
('四团', '我要的幸福', '盗贼', '颈部', '奥妮克希亚龙牙坠饰', '18404', '', '2020-22')
('四团', '我要的幸福', '盗贼', '肩部', '血牙肩甲', '16832', '+5 火焰抗性', '2020-22')
('四团', '我要的幸福', '盗贼', '衬衣', '红色亚麻衬衣', '2575', '', '2020-22')
('四团', '我要的幸福', '盗贼', '胸部', '骑士队长的皮甲胸铠', '23298', '+3 所有属性', '2020-22')
('四团', '我要的幸福', '盗贼', '腰部', '夜幕杀手腰带', '16827', '', '2020-22')
('四团', '我要的幸福', '盗贼', '腿部', '血牙短裤', '16909', '+14 攻击强度，+12 躲闪', '2020-22')
('四团', '我要的幸福', '盗贼', '脚', '骑士中尉的皮甲便鞋', '23285', '加速略微提升', '2020-22')
('四团', '我要的幸福', '盗贼', '腕部', '夜幕杀手护腕', '16825', '+9 耐力', '2020-22')
('四团', '我要的幸福', '盗贼', '腕部', '血牙护腕', '16911', '', '2020-22')
('四团', '我要的幸福', '盗贼', '手', '古代熔火皮手套', '18823', '+7 敏捷', '2020-22')
('四团', '我要的幸福', '盗贼', '手指', '胡里奥指环', '19325', '', '2020-22')
('四团', '我要的幸福', '盗贼', '手指', '巨魔族长徽记', '19898', '', '2020-22')
('四团', '我要的幸福', '盗贼', '饰品', '反击磁石', '18537', '', '2020-22')
('四团', '我要的幸福', '盗贼', '饰品', '黑手饰物', '13965', '', '2020-22')
('四团', '我要的幸福', '盗贼', '饰品', '正义之手', '11815', '', '2020-22')
('四团', '我要的幸福', '盗贼', '背部', '黑爵士的斗篷', '13340', '+3 敏捷', '2020-22')
('四团', '我要的幸福', '盗贼', '背部', '奥妮克希亚鳞片披风', '15138', '+3 敏捷', '2020-22')
('四团', '我要的幸福', '盗贼', '主手武器', '毁灭之刃', '18816', '+5 武器伤害', '2020-22')
('四团', '我要的幸福', '盗贼', '副手', '熔火犬牙', '18805', '十字军', '2020-22')
('四团', '我要的幸福', '盗贼', '远程', '速射强弓', '17069', '', '2020-22')
('四团', '斬龍', '战士', '头部', '狮心头盔', '12640', '+10 急速', '2020-22')
('四团', '斬龍', '战士', '颈部', '奥妮克希亚龙牙坠饰', '18404', '', '2020-22')
('四团', '斬龍', '战士', '肩部', '深渊皮甲护肩', '20689', '', '2020-22')
('四团', '斬龍', '战士', '肩部', '黑色龙鳞护肩', '15051', '', '2020-22')
('四团', '斬龍', '战士', '衬衣', '主建筑师的衬衣', '11840', '', '2020-22')
('四团', '斬龍', '战士', '胸部', '野蛮角斗士链甲', '11726', '+4 所有属性', '2020-22')
('四团', '斬龍', '战士', '腰部', '赞达拉辩护者腰带', '19823', '', '2020-22')
('四团', '斬龍', '战士', '腿部', '深渊锁甲护腿', '20668', '+10 急速', '2020-22')
('四团', '斬龍', '战士', '腿部', '黑色龙鳞护腿', '15052', '', '2020-22')
('四团', '斬龍', '战士', '脚', '多彩长靴', '19387', '加速略微提升', '2020-22')
('四团', '斬龍', '战士', '脚', '黑色龙鳞战靴', '16984', '', '2020-22')
('四团', '斬龍', '战士', '腕部', '稳固护腕', '19146', '+9 力量', '2020-22')
('四团', '斬龍', '战士', '腕部', '雷德的护腕', '12936', '+9 力量', '2020-22')
('四团', '斬龍', '战士', '手', '祭祀护手', '22714', '+7 力量', '2020-22')
('四团', '斬龍', '战士', '手指', '胡里奥指环', '19325', '', '2020-22')
('四团', '斬龍', '战士', '手指', '屠龙大师之戒', '19384', '', '2020-22')
('四团', '斬龍', '战士', '饰品', '正义之手', '11815', '', '2020-22')
('四团', '斬龍', '战士', '饰品', '钻石水瓶', '20130', '', '2020-22')
('四团', '斬龍', '战士', '饰品', '黑手饰物', '13965', '', '2020-22')
('四团', '斬龍', '战士', '背部', '黑爵士的斗篷', '13340', '+3 敏捷', '2020-22')
('四团', '斬龍', '战士', '背部', '奥妮克希亚鳞片披风', '15138', '+7 火焰抗性', '2020-22')
('四团', '斬龍', '战士', '主手武器', '哈卡莱战刃', '19865', '十字军', '2020-22')
('四团', '斬龍', '战士', '副手', '哈卡莱战刃', '19866', '十字军', '2020-22')
('四团', '斬龍', '战士', '远程', '萨特强弓', '18323', '', '2020-22')
('四团', '癫神', '牧师', '头部', '卓越之环', '16921', '+10 智力，+10 耐力，+10 全能', '2020-22')
('四团', '癫神', '牧师', '颈部', '生命项链', '18723', '', '2020-22')
('四团', '癫神', '牧师', '肩部', '卓越肩铠', '16924', '+18 法术强度', '2020-22')
('四团', '癫神', '牧师', '胸部', '信念外衣', '14154', '+3 所有属性', '2020-22')
('四团', '癫神', '牧师', '腰部', '卓越腰带', '16925', '', '2020-22')
('四团', '癫神', '牧师', '腿部', '卓越护腿', '16922', '+10 智力，+10 耐力，+10 全能', '2020-22')
('四团', '癫神', '牧师', '脚', '卓越长靴', '16919', '加速略微提升', '2020-22')
('四团', '癫神', '牧师', '腕部', '卓越束腕', '16926', '+13 法术强度', '2020-22')
('四团', '癫神', '牧师', '手', '卓越护手', '16920', '+2% 坐骑速度', '2020-22')
('四团', '癫神', '牧师', '手指', '纯源质指环', '19382', '', '2020-22')
('四团', '癫神', '牧师', '手指', '灼烧指环', '19140', '', '2020-22')
('四团', '癫神', '牧师', '饰品', '龙鳞碎片', '17064', '', '2020-22')
('四团', '癫神', '牧师', '饰品', '石楠之环', '12930', '', '2020-22')
('四团', '癫神', '牧师', '饰品', '赞达拉英雄护符', '19950', '', '2020-22')
('四团', '癫神', '牧师', '饰品', '埃雷萨拉斯皇家徽记', '18469', '', '2020-22')
('四团', '癫神', '牧师', '背部', '野性之皮', '18510', '+5 所有抗性', '2020-22')
('四团', '癫神', '牧师', '背部', '奥妮克希亚鳞片披风', '15138', '', '2020-22')
('四团', '癫神', '牧师', '主手武器', '祈福', '18608', '+29 法术强度', '2020-22')
('四团', '癫神', '牧师', '远程', '精华收集者', '19435', '', '2020-22')
('四团', '癫神', '牧师', '公会徽章', '公会徽章', '5976', '', '2020-22')
('四团', '莽哥太温柔', '法师', '头部', '灵风头冠', '16914', '+18 法术强度，+8 爆击', '2020-22')
('四团', '莽哥太温柔', '法师', '颈部', '启示项链', '17109', '', '2020-22')
('四团', '莽哥太温柔', '法师', '肩部', '奥术师衬肩', '16797', '+18 法术强度', '2020-22')
('四团', '莽哥太温柔', '法师', '胸部', '灵风长袍', '16916', '+3 所有属性', '2020-22')
('四团', '莽哥太温柔', '法师', '腰部', '灵风腰带', '16818', '', '2020-22')
('四团', '莽哥太温柔', '法师', '腿部', '灵风短裤', '16915', '+18 法术强度，+8 爆击', '2020-22')
('四团', '莽哥太温柔', '法师', '脚', '奥术师便鞋', '16800', '+5 全能', '2020-22')
('四团', '莽哥太温柔', '法师', '腕部', '奥术师护腕', '16799', '+9 耐力', '2020-22')
('四团', '莽哥太温柔', '法师', '腕部', '灵风束腕', '16918', '', '2020-22')
('四团', '莽哥太温柔', '法师', '手', '奥术师手套', '16801', '', '2020-22')
('四团', '莽哥太温柔', '法师', '手指', '屠龙者的徽记', '18403', '', '2020-22')
('四团', '莽哥太温柔', '法师', '手指', '惩戒指环', '22721', '', '2020-22')
('四团', '莽哥太温柔', '法师', '饰品', '赞达拉英雄护符', '19950', '', '2020-22')
('四团', '莽哥太温柔', '法师', '饰品', '石楠之环', '12930', '', '2020-22')
('四团', '莽哥太温柔', '法师', '背部', '吞噬披风', '19857', '+5 所有抗性', '2020-22')
('四团', '莽哥太温柔', '法师', '背部', '奥妮克希亚鳞片披风', '15138', '', '2020-22')
('四团', '莽哥太温柔', '法师', '主手武器', '暗影之翼', '19355', '+30 法术强度', '2020-22')
('四团', '莽哥太温柔', '法师', '远程', '骨寒魔杖', '19108', '', '2020-22')
('四团', '迷雾之灵', '德鲁伊', '头部', '怒风头巾', '16900', '+8 法术强度', '2020-22')
('四团', '迷雾之灵', '德鲁伊', '颈部', '龙魂坠饰', '19371', '', '2020-22')
('四团', '迷雾之灵', '德鲁伊', '肩部', '怒风肩甲', '16902', '', '2020-22')
('四团', '迷雾之灵', '德鲁伊', '胸部', '怒风胸甲', '16897', '', '2020-22')
('四团', '迷雾之灵', '德鲁伊', '腰部', '怒风腰带', '16903', '', '2020-22')
('四团', '迷雾之灵', '德鲁伊', '腿部', '怒风腿甲', '16901', '', '2020-22')
('四团', '迷雾之灵', '德鲁伊', '脚', '怒风长靴', '16898', '+7 耐力', '2020-22')
('四团', '迷雾之灵', '德鲁伊', '腕部', '怒风护腕', '16904', '', '2020-22')
('四团', '迷雾之灵', '德鲁伊', '手', '怒风护手', '16899', '+2% 坐骑速度', '2020-22')
('四团', '迷雾之灵', '德鲁伊', '手指', '纯源质指环', '19382', '', '2020-22')
('四团', '迷雾之灵', '德鲁伊', '手指', '萨弗拉斯指环', '19138', '', '2020-22')
('四团', '迷雾之灵', '德鲁伊', '饰品', '复苏之风', '11819', '', '2020-22')
('四团', '迷雾之灵', '德鲁伊', '饰品', '埃雷萨拉斯皇家徽记', '18470', '', '2020-22')
('四团', '迷雾之灵', '德鲁伊', '背部', '野性之皮', '18510', '+5 所有抗性', '2020-22')
('四团', '迷雾之灵', '德鲁伊', '背部', '奥妮克希亚鳞片披风', '15138', '', '2020-22')
('四团', '迷雾之灵', '德鲁伊', '主手武器', '光环石锤', '17105', '+29 法术强度', '2020-22')
('四团', '迷雾之灵', '德鲁伊', '副手', '生命花环', '19312', '', '2020-22')
('四团', '迷雾之灵', '德鲁伊', '公会徽章', '雷矛军服', '19032', '', '2020-22')
('四团', '兰豆豆', '猎人', '头部', '巨龙追猎者头盔', '16939', '+24 远程攻击强度，+10 耐力，+1% 命中几率', '2020-22')
('四团', '兰豆豆', '猎人', '颈部', '奥妮克希亚龙牙坠饰', '18404', '', '2020-22')
('四团', '兰豆豆', '猎人', '肩部', '巨人追猎者肩饰', '16848', '', '2020-22')
('四团', '兰豆豆', '猎人', '衬衣', '紫色丝质衬衣', '4335', '', '2020-22')
('四团', '兰豆豆', '猎人', '胸部', '巨人追猎者胸甲', '16845', '+3 所有属性', '2020-22')
('四团', '兰豆豆', '猎人', '腰部', '巨人追猎者腰带', '16851', '', '2020-22')
('四团', '兰豆豆', '猎人', '腿部', '巨龙追猎者腿甲', '16938', '+24 远程攻击强度，+10 耐力，+1% 命中几率', '2020-22')
('四团', '兰豆豆', '猎人', '脚', '巨人追猎者长靴', '16849', '+7 敏捷', '2020-22')
('四团', '兰豆豆', '猎人', '腕部', '巨人追猎者护腕', '16850', '+9 耐力', '2020-22')
('四团', '兰豆豆', '猎人', '手', '巨龙追猎者护手', '16940', '+7 敏捷', '2020-22')
('四团', '兰豆豆', '猎人', '手指', '屠龙大师之戒', '19384', '', '2020-22')
('四团', '兰豆豆', '猎人', '手指', '胡里奥指环', '19325', '', '2020-22')
('四团', '兰豆豆', '猎人', '饰品', '埃雷萨拉斯皇家徽记', '18473', '', '2020-22')
('四团', '兰豆豆', '猎人', '饰品', '魔暴龙眼', '19991', '', '2020-22')
('四团', '兰豆豆', '猎人', '饰品', '黑手饰物', '13965', '', '2020-22')
('四团', '兰豆豆', '猎人', '背部', '环雾披风', '17102', '+3 敏捷', '2020-22')
('四团', '兰豆豆', '猎人', '背部', '奥妮克希亚鳞片披风', '15138', '', '2020-22')
('四团', '兰豆豆', '猎人', '主手武器', '无面者之牙', '19859', '+15 敏捷', '2020-22')
('四团', '兰豆豆', '猎人', '主手武器', '熔火犬牙', '18805', '+15 敏捷', '2020-22')
('四团', '兰豆豆', '猎人', '副手', '熔火犬牙', '18805', '+15 敏捷', '2020-22')
('四团', '兰豆豆', '猎人', '副手', '末日徽记', '4984', '', '2020-22')
('四团', '兰豆豆', '猎人', '远程', '伦鲁迪洛尔，上古守护者的长弓', '18713', '+30 远程爆击', '2020-22')
('四团', '兰豆豆', '猎人', '公会徽章', '列兵战袍', '15196', '', '2020-22')
('四团', '猫猫头哎哟哟', '牧师', '头部', '卓越之环', '16921', '+10 智力，+10 耐力，+10 全能', '2020-22')
('四团', '猫猫头哎哟哟', '牧师', '颈部', '生命项链', '18723', '', '2020-22')
('四团', '猫猫头哎哟哟', '牧师', '肩部', '赞达拉忏悔者衬肩', '19841', '', '2020-22')
('四团', '猫猫头哎哟哟', '牧师', '衬衣', '体面的白衬衣', '4334', '', '2020-22')
('四团', '猫猫头哎哟哟', '牧师', '胸部', '信念外衣', '14154', '+100 法力值', '2020-22')
('四团', '猫猫头哎哟哟', '牧师', '腰部', '火喉之握', '19400', '', '2020-22')
('四团', '猫猫头哎哟哟', '牧师', '腿部', '卓越护腿', '16922', '+10 智力，+10 耐力，+10 全能', '2020-22')
('四团', '猫猫头哎哟哟', '牧师', '脚', '卓越长靴', '16919', '加速略微提升', '2020-22')
('四团', '猫猫头哎哟哟', '牧师', '腕部', '赞达拉忏悔者裹布', '19843', '', '2020-22')
('四团', '猫猫头哎哟哟', '牧师', '手', '预言手套', '16812', '+2% 坐骑速度', '2020-22')
('四团', '猫猫头哎哟哟', '牧师', '手指', '灼烧指环', '19140', '', '2020-22')
('四团', '猫猫头哎哟哟', '牧师', '手指', '弗丁徽记之戒', '16058', '', '2020-22')
('四团', '猫猫头哎哟哟', '牧师', '饰品', '龙鳞碎片', '17064', '', '2020-22')
('四团', '猫猫头哎哟哟', '牧师', '饰品', '祝福珠串', '19990', '', '2020-22')
('四团', '猫猫头哎哟哟', '牧师', '饰品', '恢复宝石', '19395', '', '2020-22')
('四团', '猫猫头哎哟哟', '牧师', '背部', '野性之皮', '18510', '+5 所有抗性', '2020-22')
('四团', '猫猫头哎哟哟', '牧师', '背部', '奥妮克希亚鳞片披风', '15138', '+5 所有抗性', '2020-22')
('四团', '猫猫头哎哟哟', '牧师', '主手武器', '祈福', '18608', '+29 法术强度', '2020-22')
('四团', '猫猫头哎哟哟', '牧师', '远程', '赤红震荡者', '17077', '', '2020-22')
('四团', '魔兽老青年', '战士', '头部', '愤怒头盔', '16963', '+10 躲闪，+10 耐力，+10 招架', '2020-22')
('四团', '魔兽老青年', '战士', '颈部', '稳固之力勋章', '17065', '', '2020-22')
('四团', '魔兽老青年', '战士', '肩部', '愤怒肩铠', '16961', '+5 火焰抗性', '2020-22')
('四团', '魔兽老青年', '战士', '衬衣', '新兵衬衣', '38', '', '2020-22')
('四团', '魔兽老青年', '战士', '胸部', '力量胸甲', '16865', '+100 生命值', '2020-22')
('四团', '魔兽老青年', '战士', '腰部', '愤怒腰带', '16960', '', '2020-22')
('四团', '魔兽老青年', '战士', '腰部', '黑龙束带', '13142', '', '2020-22')
('四团', '魔兽老青年', '战士', '腿部', '愤怒腿铠', '16962', '+10 躲闪，+10 耐力，+10 招架', '2020-22')
('四团', '魔兽老青年', '战士', '脚', '力量马靴', '16862', '+7 耐力', '2020-22')
('四团', '魔兽老青年', '战士', '腕部', '愤怒护腕', '16959', '+9 耐力', '2020-22')
('四团', '魔兽老青年', '战士', '手', '力量护手', '16863', '+7 力量', '2020-22')
('四团', '魔兽老青年', '战士', '手指', '胡里奥指环', '19325', '', '2020-22')
('四团', '魔兽老青年', '战士', '手指', '沉重的黑铁戒指', '18879', '', '2020-22')
('四团', '魔兽老青年', '战士', '饰品', '生命宝石', '19341', '', '2020-22')
('四团', '魔兽老青年', '战士', '饰品', '奥妮克希亚龙血护符', '18406', '', '2020-22')
('四团', '魔兽老青年', '战士', '饰品', '斯泰林的甲虫壳', '19431', '', '2020-22')
('四团', '魔兽老青年', '战士', '背部', '壁垒披风', '18495', '+70 护甲', '2020-22')
('四团', '魔兽老青年', '战士', '背部', '奥妮克希亚鳞片披风', '15138', '+5 所有抗性', '2020-22')
('四团', '魔兽老青年', '战士', '主手武器', '奎尔塞拉', '18348', '十字军', '2020-22')
('四团', '魔兽老青年', '战士', '副手', '钻孔虫之碟', '17066', '+7 耐力', '2020-22')
('四团', '魔兽老青年', '战士', '远程', '萨特强弓', '18323', '', '2020-22')
('四团', '西斯哩咕哩', '盗贼', '头部', '血牙头巾', '16908', '+14 攻击强度，+12 躲闪', '2020-22')
('四团', '西斯哩咕哩', '盗贼', '头部', '熔铸头盔', '16983', '+20 火焰抗性', '2020-22')
('四团', '西斯哩咕哩', '盗贼', '颈部', '奥妮克希亚龙牙坠饰', '18404', '', '2020-22')
('四团', '西斯哩咕哩', '盗贼', '肩部', '赞达拉狂妄者衬肩', '19835', '', '2020-22')
('四团', '西斯哩咕哩', '盗贼', '肩部', '火焰卫士护肩', '19139', '', '2020-22')
('四团', '西斯哩咕哩', '盗贼', '衬衣', '红色亚麻衬衣', '2575', '', '2020-22')
('四团', '西斯哩咕哩', '盗贼', '胸部', '血牙胸甲', '16905', '+4 所有属性', '2020-22')
('四团', '西斯哩咕哩', '盗贼', '腰部', '血牙腰带', '16910', '', '2020-22')
('四团', '西斯哩咕哩', '盗贼', '腰部', '熔岩腰带', '19149', '', '2020-22')
('四团', '西斯哩咕哩', '盗贼', '腿部', '血牙短裤', '16909', '+14 攻击强度，+12 躲闪', '2020-22')
('四团', '西斯哩咕哩', '盗贼', '脚', '血牙长靴', '16906', '+7 敏捷', '2020-22')
('四团', '西斯哩咕哩', '盗贼', '腕部', '赞达拉狂妄者护腕', '19836', '+9 力量', '2020-22')
('四团', '西斯哩咕哩', '盗贼', '腕部', '夜幕杀手护腕', '16825', '+9 力量', '2020-22')
('四团', '西斯哩咕哩', '盗贼', '手', '古代熔火皮手套', '18823', '+7 敏捷', '2020-22')
('四团', '西斯哩咕哩', '盗贼', '手指', '埃古雷亚指环', '17063', '', '2020-22')
('四团', '西斯哩咕哩', '盗贼', '手指', '海洋之风', '18399', '', '2020-22')
('四团', '西斯哩咕哩', '盗贼', '手指', '屠龙大师之戒', '19384', '', '2020-22')
('四团', '西斯哩咕哩', '盗贼', '饰品', '埃雷萨拉斯皇家徽记', '18465', '', '2020-22')
('四团', '西斯哩咕哩', '盗贼', '饰品', '闪耀徽章', '2802', '', '2020-22')
('四团', '西斯哩咕哩', '盗贼', '饰品', '黑手饰物', '13965', '', '2020-22')
('四团', '西斯哩咕哩', '盗贼', '饰品', '埃雷萨拉斯皇家徽记', '18465', '', '2020-22')
('四团', '西斯哩咕哩', '盗贼', '背部', '火喉披风', '19398', '+3 敏捷', '2020-22')
('四团', '西斯哩咕哩', '盗贼', '背部', '奥妮克希亚鳞片披风', '15138', '+7 火焰抗性', '2020-22')
('四团', '西斯哩咕哩', '盗贼', '主手武器', '毁灭之刃', '18816', '十字军', '2020-22')
('四团', '西斯哩咕哩', '盗贼', '副手', '熔火犬牙', '18805', '十字军', '2020-22')
('四团', '西斯哩咕哩', '盗贼', '远程', '速射强弓', '17069', '', '2020-22')
('四团', '西斯哩咕哩', '盗贼', '公会徽章', '雷矛军服', '19032', '', '2020-22')
('四团', '卷毛大将', '战士', '头部', '愤怒头盔', '16963', '+100 生命值', '2020-22')
('四团', '卷毛大将', '战士', '头部', '狮心头盔', '12640', '+8 力量', '2020-22')
('四团', '卷毛大将', '战士', '颈部', '奥妮克希亚龙牙坠饰', '18404', '', '2020-22')
('四团', '卷毛大将', '战士', '肩部', '愤怒肩铠', '16961', '', '2020-22')
('四团', '卷毛大将', '战士', '肩部', '龙爪肩铠', '19394', '', '2020-22')
('四团', '卷毛大将', '战士', '衬衣', '主建筑师的衬衣', '11840', '', '2020-22')
('四团', '卷毛大将', '战士', '胸部', '愤怒胸甲', '16966', '+100 生命值', '2020-22')
('四团', '卷毛大将', '战士', '胸部', '黑色龙鳞胸甲', '15050', '+4 所有属性', '2020-22')
('四团', '卷毛大将', '战士', '腰部', '力量腰带', '16864', '', '2020-22')
('四团', '卷毛大将', '战士', '腰部', '堕落十字军腰带', '19392', '', '2020-22')
('四团', '卷毛大将', '战士', '腿部', '愤怒腿铠', '16962', '+5 躲闪', '2020-22')
('四团', '卷毛大将', '战士', '腿部', '黑色龙鳞护腿', '15052', '', '2020-22')
('四团', '卷毛大将', '战士', '脚', '力量马靴', '16862', '+7 耐力', '2020-22')
('四团', '卷毛大将', '战士', '脚', '黑色龙鳞战靴', '16984', '', '2020-22')
('四团', '卷毛大将', '战士', '腕部', '愤怒护腕', '16959', '+9 耐力', '2020-22')
('四团', '卷毛大将', '战士', '腕部', '赞达拉辩护者护臂', '19824', '', '2020-22')
('四团', '卷毛大将', '战士', '手', '力量护手', '16863', '+7 力量', '2020-22')
('四团', '卷毛大将', '战士', '手', '烈焰守卫护手', '19143', '+7 力量', '2020-22')
('四团', '卷毛大将', '战士', '手指', '屠龙大师之戒', '19384', '', '2020-22')
('四团', '卷毛大将', '战士', '手指', '胡里奥指环', '19325', '', '2020-22')
('四团', '卷毛大将', '战士', '饰品', '斯泰林的甲虫壳', '19431', '', '2020-22')
('四团', '卷毛大将', '战士', '饰品', '黑手饰物', '13965', '', '2020-22')
('四团', '卷毛大将', '战士', '饰品', '生命宝石', '19341', '', '2020-22')
('四团', '卷毛大将', '战士', '饰品', '生命宝石', '19341', '', '2020-22')
('四团', '卷毛大将', '战士', '饰品', '暗月卡片：漩涡', '19289', '', '2020-22')
('四团', '卷毛大将', '战士', '背部', '龙血斗篷', '17107', '+5 所有抗性', '2020-22')
('四团', '卷毛大将', '战士', '背部', '奥妮克希亚鳞片披风', '15138', '', '2020-22')
('四团', '卷毛大将', '战士', '主手武器', '克鲁索洛克恩，混乱之刃', '19363', '十字军', '2020-22')
('四团', '卷毛大将', '战士', '主手武器', '夜幕', '19169', '十字军', '2020-22')
('四团', '卷毛大将', '战士', '主手武器', '削骨之刃', '17076', '十字军', '2020-22')
('四团', '卷毛大将', '战士', '副手', '钻孔虫之碟', '17066', '+7 耐力', '2020-22')
('四团', '卷毛大将', '战士', '远程', '萨特强弓', '18323', '', '2020-22')
('四团', '玛丽安娜', '法师', '头部', '灵风头冠', '16914', '', '2020-22')
('四团', '玛丽安娜', '法师', '颈部', '火焰之王的项圈', '18814', '', '2020-22')
('四团', '玛丽安娜', '法师', '肩部', '灵风衬肩', '16917', '', '2020-22')
('四团', '玛丽安娜', '法师', '衬衣', '优质布衬衣', '859', '', '2020-22')
('四团', '玛丽安娜', '法师', '胸部', '波动长袍', '19145', '', '2020-22')
('四团', '玛丽安娜', '法师', '腰部', '灵风腰带', '16818', '', '2020-22')
('四团', '玛丽安娜', '法师', '腿部', '灵风短裤', '16915', '+18 法术强度，+8 爆击', '2020-22')
