('二团', '血染胸毛', '盗贼', '头部', '血牙头巾', '16908', '+14 攻击强度，+12 躲闪', '2020-20')
('四团', '阿米驴', '战士', '肩部', '强击护肩', '12927', '', '2020-20')
('四团', '阿米驴', '战士', '衬衣', '杉德尔船长的衬衣', '3342', '', '2020-20')
('四团', '阿米驴', '战士', '胸部', '野蛮角斗士链甲', '11726', '+4 所有属性', '2020-20')
('四团', '阿米驴', '战士', '腰部', '冲击束带', '19137', '', '2020-20')
('四团', '阿米驴', '战士', '腿部', '堕落十字军腿甲', '19402', '', '2020-20')
('四团', '阿米驴', '战士', '腿部', '灰烬护腿', '19433', '', '2020-20')
('四团', '阿米驴', '战士', '脚', '多彩长靴', '19387', '+7 敏捷', '2020-20')
('四团', '阿米驴', '战士', '腕部', '真龙护腕', '18812', '+9 力量', '2020-20')
('四团', '阿米驴', '战士', '手', '烈焰守卫护手', '19143', '+7 力量', '2020-20')
('四团', '阿米驴', '战士', '手指', '胡里奥指环', '19325', '', '2020-20')
('四团', '阿米驴', '战士', '手指', '黯淡的精灵戒指', '18500', '', '2020-20')
('四团', '阿米驴', '战士', '饰品', '黑手饰物', '13965', '', '2020-20')
('四团', '阿米驴', '战士', '饰品', '龙鳞之心', '13164', '', '2020-20')
('四团', '阿米驴', '战士', '饰品', '正义之手', '11815', '', '2020-20')
('四团', '阿米驴', '战士', '背部', '黑爵士的斗篷', '13340', '+3 敏捷', '2020-20')
('四团', '阿米驴', '战士', '背部', '奥妮克希亚鳞片披风', '15138', '', '2020-20')
('四团', '阿米驴', '战士', '主手武器', '放血者维斯卡格', '17075', '十字军', '2020-20')
('四团', '阿米驴', '战士', '副手', '玛拉达斯，黑龙军团的符文之剑', '19351', '十字军', '2020-20')
('四团', '阿米驴', '战士', '远程', '爆击猎枪', '17072', '', '2020-20')
('四团', '烟儿', '牧师', '头部', '卓越之环', '16921', '+10 智力，+10 耐力，+10 全能', '2020-20')
('四团', '烟儿', '牧师', '颈部', '金度的邪眼', '19885', '', '2020-20')
('四团', '烟儿', '牧师', '肩部', '卓越肩铠', '16924', '', '2020-20')
('四团', '烟儿', '牧师', '衬衣', '紫色丝质衬衣', '4335', '', '2020-20')
('四团', '烟儿', '牧师', '胸部', '信念外衣', '14154', '+3 所有属性', '2020-20')
('四团', '烟儿', '牧师', '胸部', '预言法袍', '16815', '', '2020-20')
('四团', '烟儿', '牧师', '腰部', '赞达拉忏悔者腰带', '19842', '', '2020-20')
('四团', '烟儿', '牧师', '腿部', '强能护腿', '19385', '+10 智力，+10 耐力，+10 全能', '2020-20')
('四团', '烟儿', '牧师', '脚', '预言之靴', '16811', '+5 全能', '2020-20')
('四团', '烟儿', '牧师', '腕部', '赞达拉忏悔者裹布', '19843', '+13 法术强度', '2020-20')
('四团', '烟儿', '牧师', '手', '卓越护手', '16920', '', '2020-20')
('四团', '烟儿', '牧师', '手指', '灼烧指环', '19140', '', '2020-20')
('四团', '烟儿', '牧师', '手指', '弗丁徽记之戒', '16058', '', '2020-20')
('四团', '烟儿', '牧师', '饰品', '埃雷萨拉斯皇家徽记', '18469', '', '2020-20')
('四团', '烟儿', '牧师', '饰品', '赞达拉英雄护符', '19950', '', '2020-20')
('四团', '烟儿', '牧师', '饰品', '恢复宝石', '19395', '', '2020-20')
('四团', '烟儿', '牧师', '背部', '野性之皮', '18510', '+5 所有抗性', '2020-20')
('四团', '烟儿', '牧师', '背部', '奥妮克希亚鳞片披风', '15138', '', '2020-20')
('四团', '烟儿', '牧师', '主手武器', '祈福', '18608', '+29 法术强度', '2020-20')
('四团', '烟儿', '牧师', '远程', '龙指', '15282', '', '2020-20')
('四团', '传奇猎神', '猎人', '头部', '巨龙追猎者头盔', '16939', '', '2020-20')
('四团', '传奇猎神', '猎人', '颈部', '奥妮克希亚龙牙坠饰', '18404', '', '2020-20')
('四团', '传奇猎神', '猎人', '肩部', '巨龙追猎者肩甲', '16937', '', '2020-20')
('四团', '传奇猎神', '猎人', '衬衣', '主建筑师的衬衣', '11840', '', '2020-20')
('四团', '传奇猎神', '猎人', '胸部', '巨龙追猎者胸甲', '16942', '+4 所有属性', '2020-20')
('四团', '传奇猎神', '猎人', '腰部', '巨龙追猎者腰带', '16936', '', '2020-20')
('四团', '传奇猎神', '猎人', '腿部', '巨龙追猎者腿甲', '16938', '+24 远程攻击强度，+10 耐力，+1% 命中几率', '2020-20')
('四团', '传奇猎神', '猎人', '脚', '巨龙追猎者胫甲', '16941', '+7 敏捷', '2020-20')
('四团', '传奇猎神', '猎人', '腕部', '巨龙追猎者护腕', '16935', '+7 智力', '2020-20')
('四团', '传奇猎神', '猎人', '手', '巨龙追猎者护手', '16940', '+7 敏捷', '2020-20')
('四团', '传奇猎神', '猎人', '手指', '胡里奥指环', '19325', '', '2020-20')
('四团', '传奇猎神', '猎人', '手指', '迅击戒指', '18821', '', '2020-20')
('四团', '传奇猎神', '猎人', '饰品', '埃雷萨拉斯皇家徽记', '18473', '', '2020-20')
('四团', '传奇猎神', '猎人', '饰品', '黑手饰物', '13965', '', '2020-20')
('四团', '传奇猎神', '猎人', '背部', '黑爵士的斗篷', '13340', '+3 敏捷', '2020-20')
('四团', '传奇猎神', '猎人', '背部', '奥妮克希亚鳞片披风', '15138', '', '2020-20')
('四团', '传奇猎神', '猎人', '主手武器', '残忍利刃', '18832', '+15 敏捷', '2020-20')
('四团', '传奇猎神', '猎人', '副手', '刺杀之刃', '13036', '', '2020-20')
('四团', '传奇猎神', '猎人', '远程', '伦鲁迪洛尔，上古守护者的长弓', '18713', '瞄准镜（+7 伤害）', '2020-20')
('四团', '滑稽大王', '术士', '头部', '复仇骨帽', '16929', '+8 法术强度', '2020-20')
('四团', '滑稽大王', '术士', '颈部', '火焰之王的项圈', '18814', '', '2020-20')
('四团', '滑稽大王', '术士', '肩部', '赞达拉恶魔师衬肩', '19849', '', '2020-20')
('四团', '滑稽大王', '术士', '衬衣', '红色亚麻衬衣', '2575', '', '2020-20')
('四团', '滑稽大王', '术士', '胸部', '血藤外套', '19682', '+4 所有属性', '2020-20')
('四团', '滑稽大王', '术士', '腰部', '燃魔腰带', '19136', '', '2020-20')
('四团', '滑稽大王', '术士', '腰部', '复仇腰带', '16933', '', '2020-20')
('四团', '滑稽大王', '术士', '腿部', '血藤护腿', '19683', '+18 法术强度，+10 耐力', '2020-20')
('四团', '滑稽大王', '术士', '脚', '血藤长靴', '19684', '加速略微提升', '2020-20')
('四团', '滑稽大王', '术士', '腕部', '复仇护腕', '16934', '+7 智力', '2020-20')
('四团', '滑稽大王', '术士', '手', '恶魔之心手套', '16805', '+2% 坐骑速度', '2020-20')
('四团', '滑稽大王', '术士', '手指', '专注指环', '19403', '', '2020-20')
('四团', '滑稽大王', '术士', '手指', '赞吉尔的徽记', '19893', '', '2020-20')
('四团', '滑稽大王', '术士', '饰品', '短暂能量护符', '18820', '', '2020-20')
('四团', '滑稽大王', '术士', '饰品', '奈萨里奥之泪', '19379', '', '2020-20')
('四团', '滑稽大王', '术士', '背部', '哈卡莱崇拜者披风', '22711', '', '2020-20')
('四团', '滑稽大王', '术士', '背部', '奥妮克希亚鳞片披风', '15138', '', '2020-20')
('四团', '滑稽大王', '术士', '主手武器', '克洛玛古斯之爪', '19347', '+30 法术强度', '2020-20')
('四团', '滑稽大王', '术士', '副手', '金度的厄运袋', '19891', '', '2020-20')
('四团', '滑稽大王', '术士', '远程', '斯库尔的苍白之触', '13396', '', '2020-20')
('四团', '莽哥太温柔', '法师', '头部', '灵风头冠', '16914', '+18 法术强度，+8 爆击', '2020-20')
('四团', '莽哥太温柔', '法师', '颈部', '启示项链', '17109', '', '2020-20')
('四团', '莽哥太温柔', '法师', '肩部', '奥术师衬肩', '16797', '+5 冰霜抗性', '2020-20')
('四团', '莽哥太温柔', '法师', '胸部', '灵风长袍', '16916', '+3 所有属性', '2020-20')
('四团', '莽哥太温柔', '法师', '腰部', '灵风腰带', '16818', '', '2020-20')
('四团', '莽哥太温柔', '法师', '腿部', '灵风短裤', '16915', '', '2020-20')
('四团', '莽哥太温柔', '法师', '脚', '奥术师便鞋', '16800', '+5 全能', '2020-20')
('四团', '莽哥太温柔', '法师', '腕部', '奥术师护腕', '16799', '+9 耐力', '2020-20')
('四团', '莽哥太温柔', '法师', '手', '奥术师手套', '16801', '', '2020-20')
('四团', '莽哥太温柔', '法师', '手指', '屠龙者的徽记', '18403', '', '2020-20')
('四团', '莽哥太温柔', '法师', '手指', '惩戒指环', '22721', '', '2020-20')
('四团', '莽哥太温柔', '法师', '饰品', '埃雷萨拉斯皇家徽记', '18468', '', '2020-20')
('四团', '莽哥太温柔', '法师', '饰品', '赞达拉英雄护符', '19950', '', '2020-20')
('四团', '莽哥太温柔', '法师', '背部', '萨菲隆斗篷', '17078', '+5 所有抗性', '2020-20')
('四团', '莽哥太温柔', '法师', '背部', '奥妮克希亚鳞片披风', '15138', '', '2020-20')
('四团', '莽哥太温柔', '法师', '主手武器', '暗影之翼', '19355', '+30 法术强度', '2020-20')
('四团', '莽哥太温柔', '法师', '远程', '骨寒魔杖', '19108', '', '2020-20')
('四团', '紫爻', '法师', '头部', '灵风头冠', '16914', '+8 法术强度', '2020-20')
('四团', '紫爻', '法师', '颈部', '耶克里克的蛋白石护符', '19923', '', '2020-20')
('四团', '紫爻', '法师', '肩部', '北地衬肩', '11782', '', '2020-20')
('四团', '紫爻', '法师', '胸部', '冬夜法袍', '14136', '+3 所有属性', '2020-20')
('四团', '紫爻', '法师', '腰部', '奥科索尔腰带', '11662', '', '2020-20')
('四团', '紫爻', '法师', '腿部', '天空护腿', '13170', '+8 法术强度', '2020-20')
('四团', '紫爻', '法师', '脚', '全法长靴', '11822', '+4% 坐骑速度', '2020-20')
('四团', '紫爻', '法师', '腕部', '庄严护腕', '18497', '+7 智力', '2020-20')
('四团', '紫爻', '法师', '手', '寒冷护手', '18693', '+2% 坐骑速度', '2020-20')
('四团', '紫爻', '法师', '手指', '铁炉堡歌唱石', '12543', '', '2020-20')
('四团', '紫爻', '法师', '手指', '沉思指环', '18103', '', '2020-20')
('四团', '紫爻', '法师', '饰品', '博学坠饰', '11832', '', '2020-20')
('四团', '紫爻', '法师', '饰品', '石楠之环', '12930', '', '2020-20')
('四团', '紫爻', '法师', '背部', '哈卡莱崇拜者披风', '22711', '', '2020-20')
('四团', '紫爻', '法师', '背部', '奥妮克希亚鳞片披风', '15138', '', '2020-20')
('四团', '紫爻', '法师', '主手武器', '碧空之歌', '17103', '+30 法术强度', '2020-20')
('四团', '紫爻', '法师', '副手', '冰雪之王宝典', '19310', '', '2020-20')
('四团', '紫爻', '法师', '远程', '冰怒魔杖', '7514', '', '2020-20')
('四团', '夜央', '盗贼', '头部', '血牙头巾', '16908', '+8 敏捷', '2020-20')
('四团', '夜央', '盗贼', '颈部', '奥妮克希亚龙牙坠饰', '18404', '', '2020-20')
('四团', '夜央', '盗贼', '肩部', '赞达拉狂妄者衬肩', '19835', '', '2020-20')
('四团', '夜央', '盗贼', '肩部', '血牙肩甲', '16832', '', '2020-20')
('四团', '夜央', '盗贼', '衬衣', '盗贼衬衣', '49', '', '2020-20')
('四团', '夜央', '盗贼', '胸部', '赞达拉狂妄者外套', '19834', '+3 所有属性', '2020-20')
('四团', '夜央', '盗贼', '胸部', '夜幕杀手胸甲', '16820', '+3 所有属性', '2020-20')
('四团', '夜央', '盗贼', '腰部', '夜幕杀手腰带', '16827', '', '2020-20')
('四团', '夜央', '盗贼', '腿部', '夜幕杀手短裤', '16822', '+10 急速', '2020-20')
('四团', '夜央', '盗贼', '脚', '浴血软鞋', '19906', '加速略微提升', '2020-20')
('四团', '夜央', '盗贼', '腕部', '日蚀护腕', '18375', '+7 力量', '2020-20')
('四团', '夜央', '盗贼', '手', '夜幕杀手手套', '16826', '+7 敏捷', '2020-20')
('四团', '夜央', '盗贼', '手指', '黯淡的精灵戒指', '18500', '', '2020-20')
('四团', '夜央', '盗贼', '手指', '海洋之风', '18399', '', '2020-20')
('四团', '夜央', '盗贼', '手指', '胡里奥指环', '19325', '', '2020-20')
('四团', '夜央', '盗贼', '饰品', '正义之手', '11815', '', '2020-20')
('四团', '夜央', '盗贼', '饰品', '埃雷萨拉斯皇家徽记', '18465', '', '2020-20')
('四团', '夜央', '盗贼', '饰品', '黑手饰物', '13965', '', '2020-20')
('四团', '夜央', '盗贼', '背部', '黑爵士的斗篷', '13340', '+3 敏捷', '2020-20')
('四团', '夜央', '盗贼', '背部', '奥妮克希亚鳞片披风', '15138', '', '2020-20')
('四团', '夜央', '盗贼', '主手武器', '毁灭之刃', '18816', '+5 武器伤害', '2020-20')
('四团', '夜央', '盗贼', '副手', '熔火犬牙', '18805', '+15 敏捷', '2020-20')
('四团', '夜央', '盗贼', '远程', '萨特强弓', '18323', '', '2020-20')
('四团', '夜央', '盗贼', '公会徽章', '公会徽章', '5976', '', '2020-20')
('四团', '红烧卷心菜', '牧师', '头部', '卓越之环', '16921', '+8 法术强度', '2020-20')
('四团', '红烧卷心菜', '牧师', '颈部', '生命项链', '18723', '', '2020-20')
('四团', '红烧卷心菜', '牧师', '肩部', '预言衬肩', '16816', '', '2020-20')
('四团', '红烧卷心菜', '牧师', '衬衣', '优质布衬衣', '859', '', '2020-20')
('四团', '红烧卷心菜', '牧师', '胸部', '尊贵法袍', '13346', '+100 生命值', '2020-20')
('四团', '红烧卷心菜', '牧师', '腰部', '卓越腰带', '16925', '', '2020-20')
('四团', '红烧卷心菜', '牧师', '腿部', '卓越护腿', '16922', '+8 法术强度', '2020-20')
('四团', '红烧卷心菜', '牧师', '脚', '卓越长靴', '16919', '加速略微提升', '2020-20')
('四团', '红烧卷心菜', '牧师', '腕部', '卓越束腕', '16926', '+13 法术强度', '2020-20')
('四团', '红烧卷心菜', '牧师', '手', '预言手套', '16812', '', '2020-20')
('四团', '红烧卷心菜', '牧师', '手指', '灼烧指环', '19140', '', '2020-20')
('四团', '红烧卷心菜', '牧师', '手指', '纯源质指环', '19382', '', '2020-20')
('四团', '红烧卷心菜', '牧师', '饰品', '龙鳞碎片', '17064', '', '2020-20')
('四团', '红烧卷心菜', '牧师', '饰品', '复苏之风', '11819', '', '2020-20')
('四团', '红烧卷心菜', '牧师', '饰品', '恢复宝石', '19395', '', '2020-20')
('四团', '红烧卷心菜', '牧师', '饰品', '埃雷萨拉斯皇家徽记', '18469', '', '2020-20')
('四团', '红烧卷心菜', '牧师', '背部', '野性之皮', '18510', '', '2020-20')
('四团', '红烧卷心菜', '牧师', '背部', '奥妮克希亚鳞片披风', '15138', '', '2020-20')
('四团', '红烧卷心菜', '牧师', '主手武器', '祈福', '18608', '+29 法术强度', '2020-20')
('四团', '红烧卷心菜', '牧师', '远程', '精华收集者', '19435', '', '2020-20')
('四团', '红烧卷心菜', '牧师', '远程', '龙指', '15282', '', '2020-20')
('四团', '红烧卷心菜', '牧师', '公会徽章', '血色十字军战袍', '23192', '', '2020-20')
('四团', 'Giroud', '德鲁伊', '头部', '狼头之盔', '8345', '+10 急速', '2020-20')
('四团', 'Giroud', '德鲁伊', '颈部', '普瑞斯托的阴谋饰物', '19377', '', '2020-20')
('四团', 'Giroud', '德鲁伊', '肩部', '强击护肩', '12927', '', '2020-20')
('四团', 'Giroud', '德鲁伊', '胸部', '玛法里奥的祝福', '19405', '+4 所有属性', '2020-20')
('四团', 'Giroud', '德鲁伊', '腰部', '防腐徽记腰带', '20216', '', '2020-20')
('四团', 'Giroud', '德鲁伊', '腿部', '魔暴龙皮护腿', '15062', '+10 急速', '2020-20')
('四团', 'Giroud', '德鲁伊', '脚', '暗影烈焰长靴', '19381', '+7 敏捷', '2020-20')
('四团', 'Giroud', '德鲁伊', '腕部', '巡林者护腕', '19587', '+9 力量', '2020-20')
('四团', 'Giroud', '德鲁伊', '手', '魔暴龙皮手套', '15063', '+7 敏捷', '2020-20')
('四团', 'Giroud', '德鲁伊', '手指', '源力之环', '19432', '', '2020-20')
('四团', 'Giroud', '德鲁伊', '手指', '胡里奥指环', '19325', '', '2020-20')
('四团', 'Giroud', '德鲁伊', '饰品', '黑手饰物', '13965', '', '2020-20')
('四团', 'Giroud', '德鲁伊', '饰品', '暗月卡片：漩涡', '19289', '', '2020-20')
('四团', 'Giroud', '德鲁伊', '背部', '飞龙披风', '19436', '+3 敏捷', '2020-20')
('四团', 'Giroud', '德鲁伊', '背部', '奥妮克希亚鳞片披风', '15138', '', '2020-20')
('四团', 'Giroud', '德鲁伊', '主手武器', '典狱官法杖', '943', '+15 敏捷', '2020-20')
('四团', 'Giroud', '德鲁伊', '主手武器', '龙人之槌', '19358', '+15 敏捷', '2020-20')
('四团', 'Giroud', '德鲁伊', '公会徽章', '阿拉索战袍', '20132', '', '2020-20')
('四团', 'Oiolossë', '圣骑士', '头部', '审判头冠', '16955', '+10 躲闪，+10 耐力，+10 智力', '2020-20')
('四团', 'Oiolossë', '圣骑士', '颈部', '龙魂坠饰', '19371', '', '2020-20')
('四团', 'Oiolossë', '圣骑士', '颈部', '火焰之王的项圈', '18814', '', '2020-20')
('四团', 'Oiolossë', '圣骑士', '肩部', '审判肩铠', '16953', '', '2020-20')
('四团', 'Oiolossë', '圣骑士', '衬衣', '新兵衬衣', '38', '', '2020-20')
('四团', 'Oiolossë', '圣骑士', '胸部', '审判胸甲', '16958', '+100 生命值', '2020-20')
('四团', 'Oiolossë', '圣骑士', '腰部', '审判腰带', '16952', '', '2020-20')
('四团', 'Oiolossë', '圣骑士', '腿部', '审判腿铠', '16954', '+8 法术强度', '2020-20')
('四团', 'Oiolossë', '圣骑士', '脚', '秩序之源战靴', '16859', '+7 耐力', '2020-20')
('四团', 'Oiolossë', '圣骑士', '脚', '审判马靴', '16957', '+7 耐力', '2020-20')
('四团', 'Oiolossë', '圣骑士', '腕部', '秩序之源护腕', '16857', '+7 智力', '2020-20')
('四团', 'Oiolossë', '圣骑士', '腕部', '审判束腕', '16951', '+7 智力', '2020-20')
('四团', 'Oiolossë', '圣骑士', '手', '和平守护者护手', '20264', '', '2020-20')
('四团', 'Oiolossë', '圣骑士', '手指', '萨弗拉斯指环', '19138', '', '2020-20')
('四团', 'Oiolossë', '圣骑士', '手指', '弗丁徽记之戒', '16058', '', '2020-20')
('四团', 'Oiolossë', '圣骑士', '手指', '魔法导师的封印', '17110', '', '2020-20')
('四团', 'Oiolossë', '圣骑士', '手指', '黑石之戒', '19397', '', '2020-20')
('四团', 'Oiolossë', '圣骑士', '饰品', '石楠之环', '12930', '', '2020-20')
('四团', 'Oiolossë', '圣骑士', '饰品', '埃雷萨拉斯皇家徽记', '18472', '', '2020-20')
('四团', 'Oiolossë', '圣骑士', '饰品', '龙鳞碎片', '17064', '', '2020-20')
('四团', 'Oiolossë', '圣骑士', '背部', '萨菲隆斗篷', '17078', '+70 护甲', '2020-20')
('四团', 'Oiolossë', '圣骑士', '背部', '奥妮克希亚鳞片披风', '15138', '', '2020-20')
('四团', 'Oiolossë', '圣骑士', '主手武器', '洛卡米尔·伊洛曼希斯', '19360', '+29 法术强度', '2020-20')
('四团', 'Oiolossë', '圣骑士', '副手', '生命花环', '19312', '', '2020-20')
('四团', 'Oiolossë', '圣骑士', '远程', '埃根的冲击器', '13289', '', '2020-20')
('四团', 'Oiolossë', '圣骑士', '公会徽章', '血色十字军战袍', '23192', '', '2020-20')
('四团', '毒害艾美尔', '法师', '头部', '灵风头冠', '16914', '+18 法术强度，+8 爆击', '2020-20')
('四团', '毒害艾美尔', '法师', '颈部', '堕灵者项链', '19876', '', '2020-20')
('四团', '毒害艾美尔', '法师', '肩部', '灵风衬肩', '16917', '', '2020-20')
('四团', '毒害艾美尔', '法师', '衬衣', '体面的白衬衣', '4334', '', '2020-20')
('四团', '毒害艾美尔', '法师', '胸部', '灵风长袍', '16916', '+4 所有属性', '2020-20')
('四团', '毒害艾美尔', '法师', '腰部', '灵风腰带', '16818', '', '2020-20')
('四团', '毒害艾美尔', '法师', '腿部', '灵风短裤', '16915', '+18 法术强度，+8 爆击', '2020-20')
('四团', '毒害艾美尔', '法师', '脚', '灵风长靴', '16912', '加速略微提升', '2020-20')
('四团', '毒害艾美尔', '法师', '腕部', '灵风束腕', '16918', '+7 智力', '2020-20')
('四团', '毒害艾美尔', '法师', '手', '灵风手套', '16913', '+2% 坐骑速度', '2020-20')
('四团', '毒害艾美尔', '法师', '手指', '专注指环', '19403', '', '2020-20')
('四团', '毒害艾美尔', '法师', '手指', '惩戒指环', '22721', '', '2020-20')
('四团', '毒害艾美尔', '法师', '饰品', '思维加速宝石', '19339', '', '2020-20')
('四团', '毒害艾美尔', '法师', '饰品', '赞达拉英雄护符', '19950', '', '2020-20')
('四团', '毒害艾美尔', '法师', '背部', '吞噬披风', '19857', '+5 所有抗性', '2020-20')
('四团', '毒害艾美尔', '法师', '背部', '奥妮克希亚鳞片披风', '15138', '+5 所有抗性', '2020-20')
('四团', '毒害艾美尔', '法师', '主手武器', '克洛玛古斯之爪', '19347', '+30 法术强度', '2020-20')
('四团', '毒害艾美尔', '法师', '副手', '冰雪之王宝典', '19310', '', '2020-20')
('四团', '毒害艾美尔', '法师', '副手', '火焰魔法宝典', '19311', '', '2020-20')
('四团', '毒害艾美尔', '法师', '远程', '骨寒魔杖', '19108', '', '2020-20')
('四团', '毒害艾美尔', '法师', '远程', '玛尔里之触', '19927', '', '2020-20')
('四团', '毒害艾美尔', '法师', '公会徽章', '公会徽章', '5976', '', '2020-20')
('四团', '卷毛大将', '战士', '头部', '愤怒头盔', '16963', '+100 生命值', '2020-20')
('四团', '卷毛大将', '战士', '头部', '狮心头盔', '12640', '+8 力量', '2020-20')
('四团', '卷毛大将', '战士', '颈部', '奥妮克希亚龙牙坠饰', '18404', '', '2020-20')
